roi,band,contrast,contrast_label,classification,power_dz,power_p,peak_dz,peak_p,exp_dz,r_exp_blp,r_exp_oph,decoupling_index
FC_midline,beta3,WS->TS,WS → TS,FALSE_POSITIVE,-0.6745939204017979,1.9617421469780478e-06,0.1418660942055712,0.2722796360472573,0.3755769724255996,-0.5938739873691343,-0.2459289295356505,0.34794505783348384
FC_midline,beta3,TS->ESS1,TS → ESS1,FALSE_POSITIVE,-1.0729018480686296,1.105992580745284e-11,-0.0009780515726905,0.9939304993238228,1.3023877204143526,-0.6215550219968103,-0.23811420395543687,0.3834408180413735
FC_midline,beta3,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,-0.6578321211620379,3.186712832009942e-06,-0.5915818864214738,2.0785999955202203e-05,1.5564883745685505,-0.6918768235905847,-0.20649814206681782,0.48537868152376684
FC_midline,beta3,WS->ESS1,WS → ESS1,FALSE_POSITIVE,-1.380542563199245,1.1423877728420136e-15,0.1366225904478448,0.2902210733692498,1.191098305119927,-0.5899370183945106,-0.2678165069807086,0.32212051141380205
FC_midline,beta3,WS->LSS1,WS → LSS1,FALSE_POSITIVE,-2.267197550784601,1.6663884063769858e-25,-0.1602713653918392,0.2155156515743154,2.380563888513463,-0.5372632535549743,-0.43042510271250367,0.10683815084247061
IPG,beta3,WS->TS,WS → TS,POWER_ONLY,-0.5143694324225835,0.0001664079282106,0.097592938002275,0.4489116907022275,0.175455908725688,-0.38040110548213346,-0.04542431679331555,0.3349767886888179
IPG,beta3,TS->ESS1,TS → ESS1,FALSE_POSITIVE,-0.8877094372370204,3.251131333485464e-09,0.1045032371306122,0.4176165208941396,1.0117873762923293,-0.5245810795806246,-0.20291207494008337,0.32166900464054127
IPG,beta3,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,-0.6656402656007403,2.543320844460653e-06,-0.4428645591458159,0.0010040806144261,1.562582434693797,-0.6687251745957716,-0.16418073136706562,0.5045444432287061
IPG,beta3,WS->ESS1,WS → ESS1,FALSE_POSITIVE,-1.2183603856241991,1.3525935679664004e-13,0.1806431247528358,0.1634476316666844,0.8432909199843239,-0.415279927235574,-0.08315194486725437,0.33212798236831964
IPG,beta3,WS->LSS1,WS → LSS1,FALSE_POSITIVE,-2.127334502716112,4.021018841168369e-24,-0.0806489403202615,0.5311591280379212,2.006695961116221,-0.42226166667372345,-0.29769302521687413,0.12456864145684932
L_DLPFC,beta3,WS->TS,WS → TS,FALSE_POSITIVE,-0.6525078754339655,3.714596915713906e-06,0.1795729189145582,0.1659163214930457,0.4074284628605572,-0.3791834852127717,-0.055412939514832005,0.32377054569793967
L_DLPFC,beta3,TS->ESS1,TS → ESS1,FALSE_POSITIVE,-1.205658116994604,1.9790994543862957e-13,-0.0962100021429018,0.455334796789164,1.1452174216737971,-0.5525527069758713,-0.44715294981192827,0.10539975716394306
L_DLPFC,beta3,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,-0.6796461506341207,1.6936019085035805e-06,-0.417296649980221,0.0018426259658706,1.475943922083816,-0.7094920642048774,-0.34924911454180785,0.3602429496630696
L_DLPFC,beta3,WS->ESS1,WS → ESS1,FALSE_POSITIVE,-1.4804703301364288,6.594128878669644e-17,0.1082639890574179,0.4011528629478681,1.2282538706982369,-0.35942623435654447,-0.16577121069138767,0.1936550236651568
L_DLPFC,beta3,WS->LSS1,WS → LSS1,FALSE_POSITIVE,-2.084493763186732,1.0958404970984094e-23,-0.1099044681768048,0.3940981195180546,2.101560902177296,-0.45816540953205703,-0.28581840209202186,0.17234700744003517
L_STG,beta3,WS->TS,WS → TS,OPPOSITE_DIRECTION,-0.5948503044644174,1.8982702691375884e-05,0.3148984422254611,0.0168153924210789,0.3719559927161235,-0.5298161417624828,0.03359336280932193,0.4962227789531609
L_STG,beta3,TS->ESS1,TS → ESS1,FALSE_POSITIVE,-0.9218568189575932,1.1402206455485811e-09,-0.0637323025739631,0.6204690465406207,1.1533016582292446,-0.5785885083502115,-0.27800538841459455,0.3005831199356169
L_STG,beta3,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,-0.6462744491584811,4.442410852090875e-06,-0.569927640970905,3.772643754172828e-05,1.5491207519187324,-0.6598319924595901,-0.08096245326387634,0.5788695391957138
L_STG,beta3,WS->ESS1,WS → ESS1,NO_CLEAR_PATTERN,-1.2565608651407971,4.329204416190614e-14,0.2626839576402277,0.0445782018547124,1.162834273845471,-0.5256786140028918,-0.16830958959670014,0.35736902440619167
L_STG,beta3,WS->LSS1,WS → LSS1,FALSE_POSITIVE,-1.759654842104708,3.4168253193479594e-20,-0.0920435776609872,0.4750033003710064,2.2214622386067817,-0.4952876786265045,-0.35307363280937754,0.142214045817127
Occipital,beta3,WS->TS,WS → TS,OPPOSITE_DIRECTION,-0.4986604737109085,0.0002498763251116,0.3013948817031295,0.0218664446631989,-0.1934061301910339,-0.17270642777033668,0.02119340864844705,0.15151301912188964
Occipital,beta3,TS->ESS1,TS → ESS1,OPPOSITE_DIRECTION,-0.638763135809536,5.507042981509533e-06,0.3807933444602885,0.0042277999958012,0.6131225871366638,-0.6701887860696625,-0.23428531942574168,0.43590346664392077
Occipital,beta3,ESS1->LSS1,ESS1 → LSS1,NO_CLEAR_PATTERN,-0.6225448996672756,8.730825775514658e-06,-0.2454000258765651,0.0600506151940418,1.297624273423792,-0.7039287757849464,-0.21635199431314597,0.4875767814718004
Occipital,beta3,WS->ESS1,WS → ESS1,OPPOSITE_DIRECTION,-0.9118156772598738,1.552000539043708e-09,0.6108114898693973,1.215269793083459e-05,0.2607726018651106,-0.21336707878171773,-0.16633428436080794,0.047032794420909796
Occipital,beta3,WS->LSS1,WS → LSS1,OPPOSITE_DIRECTION,-1.3299143596665326,4.978891420855609e-15,0.3596404237574699,0.0067002637690246,1.2078373305405357,-0.4346286335706886,-0.36857627640756624,0.06605235716312235
R_DLPFC,beta3,WS->TS,WS → TS,POWER_ONLY,-0.3461533397463589,0.0089118201424645,0.1063995690908442,0.409264364239995,0.1447320503459737,-0.47225405374817586,-0.07745222570094862,0.39480182804722724
R_DLPFC,beta3,TS->ESS1,TS → ESS1,OPPOSITE_DIRECTION,-0.4761281811522103,0.0004427360503272,0.3509208485099324,0.0080632058263893,0.8451058450407537,-0.608848993237446,-0.11616780680131689,0.4926811864361291
R_DLPFC,beta3,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,-0.7063362283453202,7.750134700006151e-07,-0.5101584589945048,0.0001856787977647,1.6330897765201176,-0.6278558670916803,-0.21765943305383453,0.4101964340378458
R_DLPFC,beta3,WS->ESS1,WS → ESS1,OPPOSITE_DIRECTION,-0.7029782745041144,8.555109462921084e-07,0.4088421202875126,0.0022421622692609,0.7271531218428792,-0.47209146510200045,-0.21208557565502817,0.2600058894469723
R_DLPFC,beta3,WS->LSS1,WS → LSS1,FALSE_POSITIVE,-1.6199971154922994,1.3939342991062052e-18,0.0635381158054331,0.6215321958619815,1.9632232969571488,-0.4169540897196147,-0.273975453983443,0.1429786357361717
R_STG,beta3,WS->TS,WS → TS,NO_CLEAR_PATTERN,-0.2987322033182026,0.023009193892153,0.1789249574515012,0.1674249172634568,0.1925869032683794,-0.44010857462479036,-0.013772889248514737,0.42633568537627564
R_STG,beta3,TS->ESS1,TS → ESS1,OPPOSITE_DIRECTION,-0.4355935978316344,0.0011957380431645,0.4896217822387775,0.0003148297389303,0.8880142922914518,-0.5678570845340916,-0.12418126726425284,0.44367581726983873
R_STG,beta3,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,-0.7108105619523232,6.792647987179594e-07,-0.6363948002200392,5.891932930149546e-06,1.6287963107653043,-0.5924091465389989,-0.15448429570097114,0.4379248508380278
R_STG,beta3,WS->ESS1,WS → ESS1,OPPOSITE_DIRECTION,-0.5720954253679599,3.555583969861007e-05,0.5415892049687819,8.112206871103792e-05,0.804723297664746,-0.48004659262076993,-0.16155242774039388,0.3184941648803761
R_STG,beta3,WS->LSS1,WS → LSS1,FALSE_POSITIVE,-1.465371252916245,1.009893005138753e-16,0.0818613284097552,0.5250240445038002,2.1466420782779694,-0.3982673219289536,-0.21022068469520663,0.18804663723374695
SPG,beta3,WS->TS,WS → TS,NO_CLEAR_PATTERN,-0.2145719726371188,0.0989695889451659,0.2035789058018145,0.117090170391891,0.0365187964408672,-0.35061562882468417,-0.25449086247724917,0.096124766347435
