contrast,classification,count,total,pct
ESS1->LSS1,FALSE_NEGATIVE,10,63,15.9
ESS1->LSS1,FALSE_POSITIVE,4,63,6.3
ESS1->LSS1,NO_CLEAR_PATTERN,14,63,22.2
ESS1->LSS1,OPPOSITE_DIRECTION,3,63,4.8
ESS1->LSS1,VALID_OSCILLATORY,32,63,50.8
TS->ESS1,FALSE_POSITIVE,8,63,12.7
TS->ESS1,NO_CLEAR_PATTERN,8,63,12.7
TS->ESS1,OPPOSITE_DIRECTION,4,63,6.3
TS->ESS1,VALID_OSCILLATORY,43,63,68.3
WS->ESS1,FALSE_NEGATIVE,8,63,12.7
WS->ESS1,FALSE_POSITIVE,4,63,6.3
WS->ESS1,NO_CLEAR_PATTERN,4,63,6.3
WS->ESS1,OPPOSITE_DIRECTION,4,63,6.3
WS->ESS1,VALID_OSCILLATORY,43,63,68.3
WS->LSS1,FALSE_POSITIVE,15,63,23.8
WS->LSS1,NO_CLEAR_PATTERN,2,63,3.2
WS->LSS1,OPPOSITE_DIRECTION,2,63,3.2
WS->LSS1,VALID_OSCILLATORY,44,63,69.8
WS->TS,FALSE_NEGATIVE,3,63,4.8
WS->TS,FALSE_POSITIVE,5,63,7.9
WS->TS,NO_CLEAR_PATTERN,13,63,20.6
WS->TS,OPPOSITE_DIRECTION,2,63,3.2
WS->TS,POWER_ONLY,8,63,12.7
WS->TS,VALID_OSCILLATORY,32,63,50.8
