roi,band,contrast,contrast_label,classification,power_dz,power_p,peak_dz,peak_p,exp_dz,r_exp_blp,r_exp_oph,decoupling_index
FC_midline,delta,WS->TS,WS → TS,FALSE_POSITIVE,-0.4222750490416403,0.0016397873063819,0.1481967442265022,0.2516741443490685,0.3755769724255996,0.6808746288339776,0.04647135080493098,0.6344032780290467
FC_midline,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.7028999193762057,8.574845799873444e-07,1.097781019114619,5.175680788815172e-12,1.3023877204143526,0.6678398770309298,0.08774041256284754,0.5800994644680824
FC_midline,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.618674171671521,1.4448280064505728e-18,0.7034259493626961,8.443204320214268e-07,1.5564883745685505,0.8211081844075157,0.09699755161010315,0.7241106327974125
FC_midline,delta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,0.1074099163793482,0.4048563120258023,0.9323024909827142,8.272404112143601e-10,1.191098305119927,0.7341352507823474,0.015520188733363655,0.7186150620489837
FC_midline,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.3442438737224436,3.2765250757858014e-15,1.321276404179295,6.411530920148052e-15,2.380563888513463,0.8613258143550219,0.01369470439790135,0.8476311099571205
IPG,delta,WS->TS,WS → TS,POWER_ONLY,-0.4309161980371267,0.0013368218770249,-0.1017453234517479,0.4299455357148333,0.175455908725688,0.7506017178012135,0.07659591263059394,0.6740058051706196
IPG,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.4735512781990539,0.0004722577008745,0.7947757908886838,5.519081556287254e-08,1.0117873762923293,0.6995038655971134,-0.13570121654745887,0.5638026490496546
IPG,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.5222324471692317,2.0465902866156083e-17,0.6356769624412396,6.013716626782574e-06,1.562582434693797,0.8310972032968384,0.22750156982600966,0.6035956334708288
IPG,delta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,-0.1001930378078099,0.4369792112851422,0.4648397256305924,0.000586626667893,0.8432909199843239,0.8104281179405274,-0.04995641231475234,0.760471705625775
IPG,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,0.9857119215615296,1.6023208239637414e-10,0.8432206392867914,1.2672090296371377e-08,2.006695961116221,0.8724071113024108,0.08556428045845982,0.786842830843951
L_DLPFC,delta,WS->TS,WS → TS,FALSE_POSITIVE,-0.4327524621923233,0.0012796537674865,-0.0457645401919182,0.7220222886953067,0.4074284628605572,0.5735651801307602,-0.062153206016388095,0.5114119741143721
L_DLPFC,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.51321022645978,0.0001715114281468,0.6712203745031026,2.1636266608074397e-06,1.1452174216737971,0.6995270626496509,-0.056706054662453785,0.6428210079871971
L_DLPFC,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.4370071386380123,2.2595134000856176e-16,0.6375025233683448,5.708734835587146e-06,1.475943922083816,0.7958925238313673,0.1562636959261126,0.6396288279052547
L_DLPFC,delta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,-0.0419559797297554,0.7442892587120452,0.4458710322719185,0.0009336782147892,1.2282538706982369,0.7372089200783447,0.035976376080691305,0.7012325439976534
L_DLPFC,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,0.9956540724030242,1.1805648472139868e-10,0.9423742073414028,6.07046257114155e-10,2.101560902177296,0.8366546704320723,0.0827026304575367,0.7539520399745356
L_STG,delta,WS->TS,WS → TS,FALSE_POSITIVE,-0.4181146354400451,0.001807750390975,0.1000707690302035,0.4375361041162701,0.3719559927161235,0.6591187279563866,0.1223509124466746,0.536767815509712
L_STG,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.6256016577956881,8.007105006380146e-06,1.040081929339475,3.019891576261437e-11,1.1533016582292446,0.6545254898691907,-0.06448293464774554,0.5900425552214451
L_STG,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.6211365733263712,1.3515534661809613e-18,0.7018916607262299,8.832853135604323e-07,1.5491207519187324,0.7779465446070868,0.08261326115223361,0.6953332834548531
L_STG,delta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,0.0862949840408597,0.5029090116888666,0.8048282707813886,4.071384823027022e-08,1.162834273845471,0.7402042517526728,0.03693489863347775,0.703269353119195
L_STG,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.2988259617904514,1.2399487351986172e-14,1.191761964122369,3.00421177163532e-13,2.2214622386067817,0.8270702939845958,0.040203171171558715,0.7868671228130371
Occipital,delta,WS->TS,WS → TS,POWER_ONLY,-0.5781726167072851,3.009868809229499e-05,-0.1239802183854228,0.3367735236262021,-0.1934061301910339,0.8126620535910462,0.10530655574301048,0.7073554978480356
Occipital,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.3486620855103369,0.0084555705110063,0.4735356624763673,0.0004724422085414,0.6131225871366638,0.6591438276914495,-0.2975852889780708,0.36155853871337873
Occipital,delta,ESS1->LSS1,ESS1 → LSS1,FALSE_POSITIVE,0.9545583082462394,4.1743425345260637e-10,-0.0394053268787768,0.7593266581408021,1.297624273423792,0.7387882722834329,-0.0022511767564503526,0.7365370955269825
Occipital,delta,WS->ESS1,WS → ESS1,NO_CLEAR_PATTERN,-0.3349076919680805,0.0112467849477463,0.2335506696623481,0.0731194365751626,0.2607726018651106,0.8102286660460779,0.05283123035172344,0.7573974356943545
Occipital,delta,WS->LSS1,WS → LSS1,NO_CLEAR_PATTERN,0.2957014994263665,0.0243743355681031,0.1750641051248608,0.1766336351506613,1.2078373305405357,0.8051323913142909,-0.08079002089894247,0.7243423704153484
R_DLPFC,delta,WS->TS,WS → TS,POWER_ONLY,-0.3886068999303626,0.0035525182034616,0.1309595804236472,0.3104959825544476,0.1447320503459737,0.7323723580580382,0.15812518975830328,0.574247168299735
R_DLPFC,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.6001372349589444,1.6384121702932164e-05,1.064166943411911,1.4445555778383708e-11,0.8451058450407537,0.700034900164937,0.07811251519178451,0.6219223849731524
R_DLPFC,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.5776841851675465,4.4186389197399e-18,0.5995894486375658,1.6636342493382726e-05,1.6330897765201176,0.8315904630207321,0.22362773638434713,0.607962726636385
R_DLPFC,delta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,0.0720069399457828,0.5759440838542135,0.8490663431897221,1.060220130972724e-08,0.7271531218428792,0.8255782449410789,0.11439429612375673,0.7111839488173222
R_DLPFC,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.1599749444934209,7.833391176361896e-13,1.271371635820789,2.7898603288363174e-14,1.9632232969571488,0.908607974462365,0.18196560798541703,0.7266423664769479
R_STG,delta,WS->TS,WS → TS,NO_CLEAR_PATTERN,-0.3206960311150808,0.0149893129085675,0.2301546248239651,0.0772782746080661,0.1925869032683794,0.755295914427535,0.20355798214218304,0.551737932285352
R_STG,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.7417064362369657,2.71692606883892e-07,0.9357431077999804,7.442512210307639e-10,0.8880142922914518,0.7685489380489666,-0.030638484244629085,0.7379104538043375
R_STG,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.6194046053301216,1.4165002936538272e-18,0.6273790159083245,7.613669513447151e-06,1.6287963107653043,0.8532568645254555,0.2035190095557202,0.6497378549697352
R_STG,delta,WS->ESS1,WS → ESS1,NO_CLEAR_PATTERN,0.2556732650940572,0.0503812294993966,0.8956949721320431,2.545136914032732e-09,0.804723297664746,0.8315888339022866,0.03823355395812893,0.7933552799441577
R_STG,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.5198125838404577,2.189358027370657e-17,1.3445381674090195,3.2485361959589776e-15,2.1466420782779694,0.8996079265004999,0.04174423557750745,0.8578636909229924
SPG,delta,WS->TS,WS → TS,POWER_ONLY,-0.3756196279428315,0.0047386676735674,0.0446285951190229,0.7286394417042313,0.0365187964408672,0.6981143540923173,0.13823171217626584,0.5598826419160514
SPG,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.6508659712413747,3.894073972820255e-06,0.981338202377548,1.8328193734222596e-10,0.7548644810402941,0.7627483975644368,-0.009669471574413575,0.7530789259900232
SPG,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.5145230471029192,2.5374635785135242e-17,0.4372171481004921,0.0011501526034591,1.583930449525698,0.8318462115930079,0.2231680213371159,0.608678190255892
SPG,delta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,0.092359274786196,0.4734964304746718,0.7147739685047905,6.042662562831735e-07,0.6055722470859176,0.7876778671675707,-0.004084962312502686,0.783592904855068
SPG,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.2826119269169811,2.00054024058865e-14,0.9601754826901638,3.512401480906551e-10,1.9952581633335225,0.8540555164066748,-0.05157113245556711,0.8024843839511077
VmPFC,delta,WS->TS,WS → TS,POWER_ONLY,-0.3954117369227979,0.0030477719621465,-0.0221657704282395,0.8631396528699119,0.2673433190857017,0.6864312174592826,0.07990637537457321,0.6065248420847094
VmPFC,delta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.5446117409399333,7.482288269299024e-05,0.8213699205591779,2.4646472720183152e-08,1.0523188818133302,0.6836410540234554,0.035344260043071264,0.6482967939803842
VmPFC,delta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.4586557218050409,1.2213680706690282e-16,0.5283206572067449,0.0001153938062812,1.5666384127309405,0.7876844355059325,0.18074228944959783,0.6069421460563347
VmPFC,delta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,-0.0076544039116912,0.9525272990811376,0.545599775617517,7.286853502192133e-05,0.9741279749718662,0.7600368861795876,0.00395430855933636,0.7560825776202513
VmPFC,delta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.0196480087895772,5.6512132612189906e-11,0.8784109533941377,4.322648079471016e-09,2.1505139969107065,0.8589383909157084,0.09672729463990012,0.7622110962758083
FC_midline,theta,WS->TS,WS → TS,NO_CLEAR_PATTERN,0.10151813146117,0.4309707523000957,0.2776537398083462,0.0340923762740714,0.3755769724255996,0.6165851906375617,-0.026575566188014422,0.5900096244495473
FC_midline,theta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.658693573673498,3.1085337802405414e-06,0.5006832687029602,0.0002372150395535,1.3023877204143526,0.5745737305352648,0.45887975122793695,0.11569397930732789
FC_midline,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.4686124712340456,9.214567499156988e-17,0.4741205489729614,0.0004655783171864,1.5564883745685505,0.7454574228209511,0.33851199655454395,0.4069454262664071
FC_midline,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.5456459611703751,7.27784002730194e-05,0.6168596675657773,1.02510822956643e-05,1.191098305119927,0.6891310761973979,0.2893327584597415,0.3997983177376564
FC_midline,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.567832201317658,5.7918468518001334e-18,0.9792338125684183,1.9552669953503718e-10,2.380563888513463,0.8121696162873825,0.4280638318680051,0.38410578441937737
IPG,theta,WS->TS,WS → TS,NO_CLEAR_PATTERN,0.1025979353843492,0.4261110471952995,0.2307984840803331,0.0764749540162682,0.175455908725688,0.6409807615917301,-0.07506005839857148,0.5659207031931587
IPG,theta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.5920245296145729,2.053233242098572e-05,0.4656142764382918,0.0005754733328316,1.0117873762923293,0.6029641735531397,0.3275424362837023,0.2754217372694374
IPG,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.5268125205737404,1.8015848614302976e-17,0.565100245629296,4.303333734176151e-05,1.562582434693797,0.7277548056113397,0.3018484803592964,0.42590632525204325
IPG,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.4817095614244481,0.0003847298409952,0.5942382158711056,1.9308369768767e-05,0.8432909199843239,0.7277260335842133,0.23526591747598505,0.49246011610822826
IPG,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.4983882795201522,3.985146202613525e-17,0.9411532353411384,6.302570095099965e-10,2.006695961116221,0.8061453497088473,0.33285613026456434,0.473289219444283
L_DLPFC,theta,WS->TS,WS → TS,FALSE_NEGATIVE,0.15214853038783,0.239390547519097,0.3194763707974343,0.0153578934683766,0.4074284628605572,0.578858808241365,0.017372478120180446,0.5614863301211845
L_DLPFC,theta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.4550163832353662,0.0007472228125926,0.3020302111077724,0.0216013721914317,1.1452174216737971,0.6117677787736774,0.24043527913483004,0.37133249963884735
L_DLPFC,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.344047765882175,3.2953107953431018e-15,0.3810769368135712,0.0042013341447064,1.475943922083816,0.6702669156008322,0.24001278629811582,0.43025412930271634
L_DLPFC,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.4518990480200782,0.0008063936470742,0.5429044787908303,7.832022127655904e-05,1.2282538706982369,0.6351691257263282,0.19917792098840464,0.4359912047379236
L_DLPFC,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.292074907962327,1.512915341891201e-14,0.8320349475800163,1.7818407860782034e-08,2.101560902177296,0.7628838233891962,0.4156528432716168,0.34723098011757947
L_STG,theta,WS->TS,WS → TS,NO_CLEAR_PATTERN,0.235344621864023,0.0709993789811778,0.3573889002086615,0.007030254163078,0.3719559927161235,0.5854683821167509,-0.014659746122980911,0.57080863599377
L_STG,theta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.6096227422721417,1.256509453684067e-05,0.461590432999678,0.0006357030268142,1.1533016582292446,0.6301276574226137,0.44547784551287023,0.18464981190974344
L_STG,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.392455938986537,8.100201770651091e-16,0.4062859875817348,0.0023781443522843,1.5491207519187324,0.7293458742745706,0.3184752391818816,0.41087063509268906
L_STG,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.5860257772137886,2.4242101775029792e-05,0.6735242093616001,2.0236625976037498e-06,1.162834273845471,0.7106775832105431,0.33792090544543596,0.3727566777651071
L_STG,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.5478601767529108,1.0047817301796765e-17,0.994232762339014,1.233252921423118e-10,2.2214622386067817,0.7789610072759858,0.4364388094310367,0.34252219784494914
Occipital,theta,WS->TS,WS → TS,NO_CLEAR_PATTERN,-0.2304569884922691,0.0769001524953662,0.0913498592898834,0.4783239831381108,-0.1934061301910339,0.6416646229258167,-0.07064592815496937,0.5710186947708473
Occipital,theta,TS->ESS1,TS → ESS1,NO_CLEAR_PATTERN,0.2867647069988323,0.0288277022513106,0.2919352646905603,0.0261707452248267,0.6131225871366638,0.5075587373268379,0.20454649441931702,0.3030122429075208
Occipital,theta,ESS1->LSS1,ESS1 → LSS1,FALSE_POSITIVE,1.2013891029031694,2.2496057901497575e-13,-0.0074825734573134,0.9535917465358256,1.297624273423792,0.5098828952022812,0.04544335571989393,0.4644395394823873
Occipital,theta,WS->ESS1,WS → ESS1,FALSE_NEGATIVE,0.0427911387172133,0.739386887234073,0.3776917230986494,0.0045275465570137,0.2607726018651106,0.6333309493124079,-0.16351488564860026,0.46981606366380757
Occipital,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,0.7608711641249425,1.5319210167055086e-07,0.3806984429462432,0.0042366911002679,1.2078373305405357,0.6499012849315298,-0.13523712908595703,0.5146641558455727
R_DLPFC,theta,WS->TS,WS → TS,FALSE_NEGATIVE,0.1945264821943456,0.1339392107778061,0.3392394222438527,0.0102882808649321,0.1447320503459737,0.5908888880685232,-0.054891446289708046,0.5359974417788151
R_DLPFC,theta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.6447358314147662,4.642593270508291e-06,0.4474655619309864,0.0008982674242842,0.8451058450407537,0.5432027402566727,0.2699544560854376,0.2732482841712351
R_DLPFC,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.4744976851036735,7.80359626614805e-17,0.6436854836827185,4.784307279454563e-06,1.6330897765201176,0.7334836121389137,0.3266898191057296,0.4067937930331841
R_DLPFC,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.5735794139044997,3.4140514459031096e-05,0.635405562548927,6.060400760180443e-06,0.7271531218428792,0.6725899298102909,0.20698078646870224,0.46560914334158865
R_DLPFC,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.5802583692810015,4.117501671506116e-18,1.0843767907392787,7.79002106562685e-12,1.9632232969571488,0.7660177612385677,0.258852152064737,0.5071656091738307
R_STG,theta,WS->TS,WS → TS,NO_CLEAR_PATTERN,0.2693402942399434,0.039612754555839,0.2950719864722507,0.0246667570029093,0.1925869032683794,0.6289279779691196,0.019010106950028263,0.6099178710190913
R_STG,theta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.7013984631752479,8.961834193006661e-07,0.4482074658861659,0.0008822298511069,0.8880142922914518,0.5894031709945151,0.24009638581422987,0.34930678518028524
R_STG,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.4578475826809574,1.249662952079625e-16,0.731471798335834,3.684426822229672e-07,1.6287963107653043,0.7733877537413298,0.327533772399729,0.44585398134160087
R_STG,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.6465505875630659,4.407391700238671e-06,0.5997038899437532,1.6583338137395312e-05,0.804723297664746,0.7048683460975345,0.28537553236628677,0.4194928137312477
R_STG,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.7014458444792622,1.5735006885983036e-19,1.0977128263621894,5.186449900489051e-12,2.1466420782779694,0.8011283404623792,0.3783731480818262,0.42275519238055304
SPG,theta,WS->TS,WS → TS,NO_CLEAR_PATTERN,0.134091201040332,0.2991684232687839,0.2125231358003229,0.1021611531118969,0.0365187964408672,0.4950057209288014,-0.038632952011739365,0.456372768917062
SPG,theta,TS->ESS1,TS → ESS1,NO_CLEAR_PATTERN,0.5461337320652273,7.183305043680064e-05,0.2765321318678275,0.0347954966997131,0.7548644810402941,0.5408116810691926,0.1425450350342038,0.39826664603498885
SPG,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.4831105681472485,6.121582953537912e-17,0.5130040532655842,0.0001724347877477,1.583930449525698,0.7197259387408932,0.30938620363243396,0.4103397351084592
SPG,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.4762882821867766,0.0004409613670274,0.4251872992783589,0.0015310934898163,0.6055722470859176,0.6329559995721469,0.11815416850078869,0.5148018310713582
SPG,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.4980165737714148,4.026899110144174e-17,0.7869784687901545,6.984787450001923e-08,1.9952581633335225,0.747442182781236,0.32558579025837986,0.4218563925228561
VmPFC,theta,WS->TS,WS → TS,FALSE_NEGATIVE,0.0438296338969953,0.7333060665730355,0.3243329775174069,0.0139371753144497,0.2673433190857017,0.572864081177992,0.04027364887044297,0.5325904323075491
VmPFC,theta,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,0.5415882635517767,8.112410850925999e-05,0.3410941195318329,0.0099011521855135,1.0523188818133302,0.5179387215371271,0.2302437582357245,0.28769496330140254
VmPFC,theta,ESS1->LSS1,ESS1 → LSS1,VALID_OSCILLATORY,1.572437032975543,5.103209742298693e-18,0.584658093545748,2.5175282791573645e-05,1.5666384127309405,0.6731479895663502,0.33095575521393705,0.3421922343524132
VmPFC,theta,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,0.4211594496419691,0.0016833213091753,0.5511148780374032,6.283601478676817e-05,0.9741279749718662,0.6424955263584964,0.22872168585081148,0.4137738405076849
VmPFC,theta,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,1.4689000394969771,9.139983602058876e-17,0.9744366864331478,2.265870871748713e-10,2.1505139969107065,0.7570434404368718,0.3207855911202992,0.4362578493165726
FC_midline,alpha1,WS->TS,WS → TS,VALID_OSCILLATORY,-1.4227597387756328,3.3935886092714074e-16,-0.7645089665780771,1.373560185206677e-07,0.3755769724255996,-0.04659329837423526,-0.09229395429623394,-0.04570065592199868
FC_midline,alpha1,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,-1.9629624653641191,2.025233956341846e-22,-2.136970188562864,3.215043211438501e-24,1.3023877204143526,0.16204685040537903,0.02150207439113492,0.14054477601424412
FC_midline,alpha1,ESS1->LSS1,ESS1 → LSS1,FALSE_NEGATIVE,0.0525040437526478,0.6832153750945437,-0.7184824346446255,5.415256178810197e-07,1.5564883745685505,0.24801332243494212,-0.08800891934972181,0.1600044030852203
FC_midline,alpha1,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,-2.585920428117323,1.903738627296903e-28,-2.5930522031734986,1.6476854252242316e-28,1.191098305119927,0.013043304740383767,-0.07317514547068346,-0.060131840730299695
FC_midline,alpha1,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,-2.474413921169683,1.894814899093613e-27,-2.8033649314169726,2.6499431912614226e-30,2.380563888513463,0.12552925844827406,-0.1752101902280026,-0.04968093177972854
IPG,alpha1,WS->TS,WS → TS,VALID_OSCILLATORY,-1.4564413224832968,1.3004861686648754e-16,-0.855044212674947,8.833437793974136e-09,0.175455908725688,-0.03390733232660517,-0.15656871937403452,-0.12266138704742935
IPG,alpha1,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,-1.7395766363434506,5.768963636264224e-20,-2.056676270527221,2.116127602981748e-23,1.0117873762923293,0.26978767564104117,0.06243676195094448,0.20735091369009667
IPG,alpha1,ESS1->LSS1,ESS1 → LSS1,FALSE_NEGATIVE,0.1852597907605797,0.1531224024139501,-0.6248335735559923,8.18322794173135e-06,1.562582434693797,0.1980986747261143,-0.10229912816699718,0.09579954655911713
IPG,alpha1,WS->ESS1,WS → ESS1,VALID_OSCILLATORY,-2.468013615865608,2.1669202814758627e-27,-2.6073995074953222,1.2332820925865287e-28,0.8432909199843239,0.12590725403586864,-0.04384952792917163,0.08205772610669701
IPG,alpha1,WS->LSS1,WS → LSS1,VALID_OSCILLATORY,-2.330702439903688,4.1029008520094736e-26,-2.8373197979246503,1.3915174889444882e-30,2.006695961116221,0.17477753221620498,-0.18688149110403196,-0.012103958887826977
L_DLPFC,alpha1,WS->TS,WS → TS,VALID_OSCILLATORY,-1.282187421619395,2.0257969943291828e-14,-0.8500363456604153,1.0292907753005233e-08,0.4074284628605572,0.08135199351417607,-0.11839143500689125,-0.03703944149271518
L_DLPFC,alpha1,TS->ESS1,TS → ESS1,VALID_OSCILLATORY,-1.8326092800010416,5.230730259607007e-21,-2.0293658541219988,4.059811367000868e-23,1.1452174216737971,0.3422341260799884,0.15525411361126748,0.1869800124687209
