roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi
FC_midline,alpha1_peak_cf_hz,WS->TS,WS → TS,61,0.2528551902097739,0.052890573156731596,ns,0.09016393442622951,-0.0011612854475391288,0.18148915429999815
FC_midline,alpha1_peak_cf_hz,TS->ESS1,TS → ESS1,61,-1.1741637811284569,5.103839089533818e-13,***,-0.8442622950819673,-1.0284151511568604,-0.6601094390070741
FC_midline,alpha1_peak_cf_hz,ESS1->LSS1,ESS1 → LSS1,61,-0.010167315759880738,0.936971352477139,ns,-0.00819672131147541,-0.21466988034462545,0.1982764377216746
FC_midline,alpha1_peak_cf_hz,WS->ESS1,WS → ESS1,61,-0.9795209662007476,1.938087963955123e-10,***,-0.7540983606557377,-0.9512697991615147,-0.5569269221499606
FC_midline,alpha1_peak_cf_hz,WS->LSS1,WS → LSS1,61,-0.9920275126111965,1.3196995097332073e-10,***,-0.7622950819672131,-0.9590969178783078,-0.5654932460561184
FC_midline,alpha1_peak_height_log10,WS->TS,WS → TS,61,-0.7645089665780771,1.3735601852066767e-07,***,-0.19268887927662887,-0.2572400037359649,-0.12813775481729286
FC_midline,alpha1_peak_height_log10,TS->ESS1,TS → ESS1,61,-2.1369701885628634,3.215043211438501e-24,***,-0.7039380697250825,-0.7883037346746343,-0.6195724047755308
FC_midline,alpha1_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.7184824346446255,5.415256178810197e-07,***,-0.128202283305497,-0.1739015624548276,-0.08250300415616638
FC_midline,alpha1_peak_height_log10,WS->ESS1,WS → ESS1,61,-2.5930522031734986,1.6476854252242318e-28,***,-0.8966269490017115,-0.9851854531869703,-0.8080684448164527
FC_midline,alpha1_peak_height_log10,WS->LSS1,WS → LSS1,61,-2.8033649314169726,2.6499431912614222e-30,***,-1.0248292323072083,-1.118456341211429,-0.9312021234029876
FC_midline,alpha1_peak_power_log10,WS->TS,WS → TS,61,-1.2208449020285417,1.2556822763440236e-13,***,-0.3040829034658953,-0.3678741742674174,-0.24029163266437317
FC_midline,alpha1_peak_power_log10,TS->ESS1,TS → ESS1,61,-2.0061958673766167,7.086548944417341e-23,***,-0.7750873147530712,-0.8740353197443933,-0.6761393097617492
FC_midline,alpha1_peak_power_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.04299646103651393,0.7381832999459654,ns,-0.00916352942494222,-0.06374683238662163,0.04541977353673719
FC_midline,alpha1_peak_power_log10,WS->ESS1,WS → ESS1,61,-2.7614406605581028,5.919950342361145e-30,***,-1.0791702182189666,-1.1792586721909784,-0.9790817642469548
FC_midline,alpha1_peak_power_log10,WS->LSS1,WS → LSS1,61,-2.596940850346094,1.5230815322005928e-28,***,-1.088333747643909,-1.1956658862533043,-0.9810016090345137
