roi,metric,contrast,contrast_label,n,dz,p,stars,mean_delta,ci95_lo,ci95_hi,band,metric_type
FC_midline,alpha1_peak_height_log10,WS->TS,WS → TS,61,-0.7645089665780771,1.3735601852066767e-07,***,-0.19268887927662887,-0.2572400037359649,-0.12813775481729286,alpha1,peak_height
FC_midline,alpha1_peak_height_log10,TS->ESS1,TS → ESS1,61,-2.1369701885628634,3.215043211438501e-24,***,-0.7039380697250825,-0.7883037346746343,-0.6195724047755308,alpha1,peak_height
FC_midline,alpha1_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.7184824346446255,5.415256178810197e-07,***,-0.128202283305497,-0.1739015624548276,-0.08250300415616638,alpha1,peak_height
FC_midline,alpha1_peak_height_log10,WS->ESS1,WS → ESS1,61,-2.5930522031734986,1.6476854252242318e-28,***,-0.8966269490017115,-0.9851854531869703,-0.8080684448164527,alpha1,peak_height
FC_midline,alpha1_peak_height_log10,WS->LSS1,WS → LSS1,61,-2.8033649314169726,2.6499431912614222e-30,***,-1.0248292323072083,-1.118456341211429,-0.9312021234029876,alpha1,peak_height
FC_midline,alpha2_peak_height_log10,WS->TS,WS → TS,61,-0.2696224205538653,0.03941336657400812,*,-0.07257932878084888,-0.14152177496485344,-0.003636882596844332,alpha2,peak_height
FC_midline,alpha2_peak_height_log10,TS->ESS1,TS → ESS1,61,-2.088610514738915,9.946231744791004e-24,***,-0.6874162529200457,-0.7717093635458705,-0.6031231422942209,alpha2,peak_height
FC_midline,alpha2_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,-0.6022316355006272,1.545376883654778e-05,***,-0.1279707045004172,-0.182392985441435,-0.0735484235593994,alpha2,peak_height
FC_midline,alpha2_peak_height_log10,WS->ESS1,WS → ESS1,61,-2.149933123913644,2.381997995776242e-24,***,-0.7599955817008947,-0.8505304472867892,-0.6694607161150001,alpha2,peak_height
FC_midline,alpha2_peak_height_log10,WS->LSS1,WS → LSS1,61,-2.229294575116573,3.8964486277711736e-25,***,-0.8879662862013118,-0.9899800479488259,-0.7859525244537977,alpha2,peak_height
FC_midline,beta1_peak_height_log10,WS->TS,WS → TS,61,-0.42280319510716924,0.0016195498728039021,**,-0.07122442508933537,-0.11436842797798367,-0.028080422200687058,beta1,peak_height
FC_midline,beta1_peak_height_log10,TS->ESS1,TS → ESS1,61,-0.27004821408587826,0.039114098071228134,*,-0.03524194563905349,-0.0686651675192754,-0.0018187237588315822,beta1,peak_height
FC_midline,beta1_peak_height_log10,ESS1->LSS1,ESS1 → LSS1,61,0.598215659728164,1.7285681174703172e-05,***,0.10388742836229148,0.059410481951426536,0.14836437477315642,beta1,peak_height
FC_midline,beta1_peak_height_log10,WS->ESS1,WS → ESS1,61,-0.5128541353509779,0.00017310921140343543,***,-0.10646637072838887,-0.15963412695623466,-0.05329861450054308,beta1,peak_height
FC_midline,beta1_peak_height_log10,WS->LSS1,WS → LSS1,61,-0.010353032555009845,0.9358225931251417,ns,-0.0025789423660973906,-0.0663764630832555,0.06121857835106072,beta1,peak_height
