roi,method,band,contrast,n,dz,p,stars,mean_delta
FC_midline,Residual,delta,WS->TS,61,0.14819674422650223,0.2516741443490685,ns,0.022505250792654297
FC_midline,Residual,delta,TS->ESS1,61,1.0977810191146187,5.175680788815172e-12,***,0.14422022142872454
FC_midline,Residual,delta,ESS1->LSS1,61,0.7034259493626961,8.443204320214268e-07,***,0.12167072848707754
FC_midline,Residual,delta,WS->ESS1,61,0.9323024909827141,8.272404112143601e-10,***,0.16672547222137885
FC_midline,Residual,delta,WS->LSS1,61,1.321276404179295,6.411530920147993e-15,***,0.2883962007084564
FC_midline,Residual,theta,WS->TS,61,0.2776537398083463,0.034092376274071384,*,0.046887467804425355
FC_midline,Residual,theta,TS->ESS1,61,0.5006832687029602,0.00023721503955353933,***,0.08558789559055599
FC_midline,Residual,theta,ESS1->LSS1,61,0.4741205489729613,0.00046557831718644635,***,0.07309112613862032
FC_midline,Residual,theta,WS->ESS1,61,0.6168596675657773,1.0251082295664299e-05,***,0.13247536339498128
FC_midline,Residual,theta,WS->LSS1,61,0.9792338125684186,1.9552669953503604e-10,***,0.20556648953360168
FC_midline,Residual,alpha1,WS->TS,61,-0.7645089665780769,1.3735601852066995e-07,***,-0.1926888792766288
FC_midline,Residual,alpha1,TS->ESS1,61,-2.136970188562864,3.215043211438501e-24,***,-0.7039380697250825
FC_midline,Residual,alpha1,ESS1->LSS1,61,-0.7184824346446254,5.415256178810198e-07,***,-0.12820228330549696
FC_midline,Residual,alpha1,WS->ESS1,61,-2.5930522031734986,1.647685425224212e-28,***,-0.8966269490017115
FC_midline,Residual,alpha1,WS->LSS1,61,-2.803364931416972,2.6499431912614397e-30,***,-1.0248292323072081
FC_midline,Residual,alpha2,WS->TS,61,-0.26962242055386515,0.03941336657400825,*,-0.07257932878084884
FC_midline,Residual,alpha2,TS->ESS1,61,-2.088610514738915,9.946231744791004e-24,***,-0.6874162529200457
FC_midline,Residual,alpha2,ESS1->LSS1,61,-0.6022316355006272,1.545376883654778e-05,***,-0.1279707045004172
FC_midline,Residual,alpha2,WS->ESS1,61,-2.149933123913644,2.381997995776242e-24,***,-0.7599955817008947
FC_midline,Residual,alpha2,WS->LSS1,61,-2.229294575116573,3.89644862777114e-25,***,-0.8879662862013118
FC_midline,Residual,beta1,WS->TS,61,-0.4228031951071693,0.0016195498728039021,**,-0.07122442508933537
FC_midline,Residual,beta1,TS->ESS1,61,-0.2700482140858783,0.0391140980712281,*,-0.03524194563905349
FC_midline,Residual,beta1,ESS1->LSS1,61,0.5982156597281639,1.7285681174703226e-05,***,0.10388742836229145
FC_midline,Residual,beta1,WS->ESS1,61,-0.5128541353509779,0.00017310921140343543,***,-0.10646637072838887
FC_midline,Residual,beta1,WS->LSS1,61,-0.01035303255500989,0.9358225931251414,ns,-0.0025789423660974014
FC_midline,Residual,beta2,WS->TS,61,-0.6954479019554689,1.067237431045499e-06,***,-0.09922329500385188
FC_midline,Residual,beta2,TS->ESS1,61,-0.8163383250666383,2.871657994311245e-08,***,-0.13364220626333087
FC_midline,Residual,beta2,ESS1->LSS1,61,-0.2627688633443571,0.04451162033600673,*,-0.023643730901311243
FC_midline,Residual,beta2,WS->ESS1,61,-1.3009221824073474,1.165731538162157e-14,***,-0.23286550126718275
