roi,band,metric_type,contrast,contrast_label,n_full,full_dz,half_dz_mean,half_dz_sd,ci95_lo,ci95_hi,dir_agree_pct,reliable,n_valid_iters
FC_midline,delta,band_power,WS->TS,WS → TS,61,-0.4223,-0.4285,0.1117,-0.6406,-0.2241,100.0,True,1000
FC_midline,delta,band_power,TS->ESS1,TS → ESS1,61,0.7029,0.7138,0.147,0.46,1.0372,100.0,True,1000
FC_midline,delta,band_power,ESS1->LSS1,ESS1 → LSS1,61,1.6187,1.6395,0.1813,1.3389,2.0386,100.0,True,1000
FC_midline,delta,band_power,WS->ESS1,WS → ESS1,61,0.1074,0.122,0.1492,-0.1371,0.4573,80.5,False,1000
FC_midline,delta,band_power,WS->LSS1,WS → LSS1,61,1.3442,1.3666,0.2217,1.0194,1.887,100.0,True,1000
FC_midline,delta,peak_height,WS->TS,WS → TS,61,0.1482,0.1656,0.142,-0.0892,0.4693,87.6,False,1000
FC_midline,delta,peak_height,TS->ESS1,TS → ESS1,61,1.0978,1.0998,0.1687,0.8073,1.4854,100.0,True,1000
FC_midline,delta,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.7034,0.7179,0.1271,0.4812,0.9716,100.0,True,1000
FC_midline,delta,peak_height,WS->ESS1,WS → ESS1,61,0.9323,0.9478,0.207,0.6217,1.4189,100.0,True,1000
FC_midline,delta,peak_height,WS->LSS1,WS → LSS1,61,1.3213,1.3451,0.2002,1.0273,1.7974,100.0,True,1000
FC_midline,theta,band_power,WS->TS,WS → TS,61,0.1015,0.0991,0.1324,-0.1607,0.3636,78.1,False,1000
FC_midline,theta,band_power,TS->ESS1,TS → ESS1,61,0.6587,0.6866,0.1519,0.4214,1.0258,100.0,True,1000
FC_midline,theta,band_power,ESS1->LSS1,ESS1 → LSS1,61,1.4686,1.4961,0.1993,1.1833,1.9386,100.0,True,1000
FC_midline,theta,band_power,WS->ESS1,WS → ESS1,61,0.5456,0.5596,0.1317,0.3218,0.8296,100.0,True,1000
FC_midline,theta,band_power,WS->LSS1,WS → LSS1,61,1.5678,1.5907,0.166,1.3227,1.9957,100.0,True,1000
FC_midline,theta,peak_height,WS->TS,WS → TS,61,0.2777,0.2752,0.1346,0.0116,0.5537,98.0,True,1000
FC_midline,theta,peak_height,TS->ESS1,TS → ESS1,61,0.5007,0.5115,0.1724,0.2187,0.9122,100.0,True,1000
FC_midline,theta,peak_height,ESS1->LSS1,ESS1 → LSS1,61,0.4741,0.4866,0.1492,0.228,0.8149,100.0,True,1000
FC_midline,theta,peak_height,WS->ESS1,WS → ESS1,61,0.6169,0.6316,0.1659,0.3463,1.0054,100.0,True,1000
FC_midline,theta,peak_height,WS->LSS1,WS → LSS1,61,0.9792,0.9989,0.1759,0.7013,1.3627,100.0,True,1000
FC_midline,alpha1,band_power,WS->TS,WS → TS,61,-1.4228,-1.4507,0.1835,-1.8756,-1.146,100.0,True,1000
FC_midline,alpha1,band_power,TS->ESS1,TS → ESS1,61,-1.963,-2.0052,0.214,-2.4872,-1.6631,100.0,True,1000
FC_midline,alpha1,band_power,ESS1->LSS1,ESS1 → LSS1,61,0.0525,0.0544,0.1347,-0.1998,0.3352,64.5,False,1000
FC_midline,alpha1,band_power,WS->ESS1,WS → ESS1,61,-2.5859,-2.6157,0.2818,-3.2881,-2.1803,100.0,True,1000
FC_midline,alpha1,band_power,WS->LSS1,WS → LSS1,61,-2.4744,-2.5122,0.2517,-3.0768,-2.1066,100.0,True,1000
FC_midline,alpha1,peak_height,WS->TS,WS → TS,61,-0.7645,-0.7689,0.1164,-1.012,-0.5664,100.0,True,1000
FC_midline,alpha1,peak_height,TS->ESS1,TS → ESS1,61,-2.137,-2.1586,0.21,-2.6327,-1.8178,100.0,True,1000
FC_midline,alpha1,peak_height,ESS1->LSS1,ESS1 → LSS1,61,-0.7185,-0.7266,0.1141,-0.9613,-0.5129,100.0,True,1000
FC_midline,alpha1,peak_height,WS->ESS1,WS → ESS1,61,-2.5931,-2.6227,0.2725,-3.2601,-2.1983,100.0,True,1000
FC_midline,alpha1,peak_height,WS->LSS1,WS → LSS1,61,-2.8034,-2.8451,0.258,-3.4243,-2.4336,100.0,True,1000
FC_midline,alpha2,band_power,WS->TS,WS → TS,61,-0.7823,-0.7931,0.1473,-1.1102,-0.531,100.0,True,1000
FC_midline,alpha2,band_power,TS->ESS1,TS → ESS1,61,-2.1778,-2.2147,0.2528,-2.831,-1.8188,100.0,True,1000
FC_midline,alpha2,band_power,ESS1->LSS1,ESS1 → LSS1,61,-0.1791,-0.18,0.1338,-0.4536,0.076,92.7,True,1000
FC_midline,alpha2,band_power,WS->ESS1,WS → ESS1,61,-2.3566,-2.3892,0.2383,-2.907,-1.9961,100.0,True,1000
FC_midline,alpha2,band_power,WS->LSS1,WS → LSS1,61,-2.4703,-2.4913,0.2295,-3.0246,-2.1119,100.0,True,1000
